Market,City,State,Year,accommodation_food_lag1,admin_support_lag1,agriculture_lag1,arts_entertainment_lag1,construction_lag1,education_lag1,finance_lag1,healthcare_lag1,information_lag1,management_lag1,manufacturing_lag1,mining_lag1,other_services_lag1,professional_services_lag1,real_estate_lag1,retail_lag1,transportation_lag1,utilities_lag1,wholesale_lag1,accommodation_food_lag2,admin_support_lag2,agriculture_lag2,arts_entertainment_lag2,construction_lag2,education_lag2,finance_lag2,healthcare_lag2,information_lag2,management_lag2,manufacturing_lag2,mining_lag2,other_services_lag2,professional_services_lag2,real_estate_lag2,retail_lag2,transportation_lag2,utilities_lag2,wholesale_lag2,home_value_growth_lag1,home_value_growth_lag2,outcome
"Alameda, CA",Alameda,CA,2021,-0.0128205128205128,-0.0133333333333333,0.0,0.1282051282051282,-0.04,0.0181818181818181,0.02,0.0262008733624454,-0.0666666666666666,0.0,0.0,0.0,-0.0376344086021505,0.0269230769230769,0.053763440860215,0.0365853658536585,0.0689655172413793,0.0,0.0,0.0086206896551724,0.0714285714285714,0.0,0.1142857142857142,0.0,0.0784313725490196,-0.0909090909090909,-0.0043478260869565,0.0465116279069767,-0.0666666666666666,-0.0483870967741935,0.0,-0.0461538461538461,0.0038610038610038,0.0568181818181818,-0.0352941176470588,-0.0333333333333333,0.0,0.0746268656716417,0.0756636910778095,-0.0258305212140661,-0.0193811846333064
"Alameda, CA",Alameda,CA,2022,0.0259740259740259,0.027027027027027,0.0,0.0,0.0,-0.0714285714285714,0.0196078431372549,0.0638297872340425,0.0238095238095238,-0.0714285714285714,0.0,0.0,-0.0391061452513966,0.0,0.1122448979591836,-0.0705882352941176,0.1935483870967742,0.0,-0.0416666666666666,-0.0128205128205128,-0.0133333333333333,0.0,0.1282051282051282,-0.04,0.0181818181818181,0.02,0.0262008733624454,-0.0666666666666666,0.0,0.0,0.0,-0.0376344086021505,0.0269230769230769,0.053763440860215,0.0365853658536585,0.0689655172413793,0.0,0.0,0.1447821021020025,0.0756636910778095,-0.0092555121862068
"Alameda, CA",Alameda,CA,2023,0.080168776371308,-0.0131578947368421,0.0,0.0681818181818181,0.0333333333333333,-0.0961538461538461,-0.0384615384615384,0.052,-0.0697674418604651,-0.2307692307692307,0.0338983050847457,0.0,0.0290697674418604,0.0299625468164794,0.1192660550458715,0.0253164556962025,-0.081081081081081,0.0,-0.072463768115942,0.0259740259740259,0.027027027027027,0.0,0.0,0.0,-0.0714285714285714,0.0196078431372549,0.0638297872340425,0.0238095238095238,-0.0714285714285714,0.0,0.0,-0.0391061452513966,0.0,0.1122448979591836,-0.0705882352941176,0.1935483870967742,0.0,-0.0416666666666666,0.0035523025789251,0.1447821021020025,0.0118191161356628
"Alameda, CA",Alameda,CA,2024,-0.0078125,-0.1333333333333333,0.0,0.1489361702127659,0.0161290322580645,0.0425531914893617,-0.11,0.053231939163498,0.1,0.2,0.0327868852459016,0.0,0.0225988700564971,0.0618181818181818,0.0491803278688524,0.0308641975308641,0.0294117647058823,0.0,-0.09375,0.080168776371308,-0.0131578947368421,0.0,0.0681818181818181,0.0333333333333333,-0.0961538461538461,-0.0384615384615384,0.052,-0.0697674418604651,-0.2307692307692307,0.0338983050847457,0.0,0.0290697674418604,0.0299625468164794,0.1192660550458715,0.0253164556962025,-0.081081081081081,0.0,-0.072463768115942,-0.0075746495564581,0.0035523025789251,0.0260968082197132
"Albuquerque, NM",Albuquerque,NM,2021,-0.0039867109634551,0.0233516483516483,0.0,-0.0083333333333333,0.0300525920360631,0.0085106382978723,-0.0104166666666666,-0.0082730093071354,-0.0104529616724738,-0.0618556701030927,-0.0127504553734061,0.0,-0.0014224751066856,-0.0037718057520037,-0.0072314049586776,-0.0341968911917098,-0.0085470085470085,0.0,-0.0510471204188481,0.0080375083724045,-0.0081743869209809,0.0,0.0434782608695652,0.0007518796992481,-0.0248962655601659,0.0073452256033578,-0.000516795865633,0.0323741007194244,0.043010752688172,0.0319548872180451,-0.1428571428571428,-0.0063604240282685,-0.0065573770491803,0.0031088082901554,0.0010373443983402,0.0144508670520231,0.0,-0.0065019505851755,0.1220572864530159,0.0720183410409892,-0.0025562725156447
"Albuquerque, NM",Albuquerque,NM,2022,-0.0113408939292861,0.0536912751677852,-0.25,-0.0210084033613445,-0.0007293946024799,-0.0253164556962025,0.0094736842105263,0.0333680917622523,-0.0105633802816901,-0.0329670329670329,-0.003690036900369,0.0,0.0284900284900284,0.0089919545669663,0.0260145681581685,0.0037553648068669,0.028735632183908,1.0,-0.0124137931034482,-0.0039867109634551,0.0233516483516483,0.0,-0.0083333333333333,0.0300525920360631,0.0085106382978723,-0.0104166666666666,-0.0082730093071354,-0.0104529616724738,-0.0618556701030927,-0.0127504553734061,0.0,-0.0014224751066856,-0.0037718057520037,-0.0072314049586776,-0.0341968911917098,-0.0085470085470085,0.0,-0.0510471204188481,0.1579177704599498,0.1220572864530159,-0.0035833388056602
"Albuquerque, NM",Albuquerque,NM,2023,0.0533063427800269,-0.0076433121019108,0.0,0.0858369098712446,0.02992700729927,0.0259740259740259,0.0145985401459854,0.0479313824419778,0.0320284697508896,0.0113636363636363,-0.0111111111111111,0.0,0.0332409972299169,-0.022983114446529,0.024340770791075,0.0352752538749331,0.0195530726256983,0.1666666666666666,-0.0069832402234636,-0.0113408939292861,0.0536912751677852,-0.25,-0.0210084033613445,-0.0007293946024799,-0.0253164556962025,0.0094736842105263,0.0333680917622523,-0.0105633802816901,-0.0329670329670329,-0.003690036900369,0.0,0.0284900284900284,0.0089919545669663,0.0260145681581685,0.0037553648068669,0.028735632183908,1.0,-0.0124137931034482,0.1170990527885208,0.1579177704599498,-0.0005842307568994
"Albuquerque, NM",Albuquerque,NM,2024,0.0390775144138372,0.0077021822849807,0.0,0.0197628458498023,0.0212615166548547,-0.0168776371308016,-0.0596094552929085,0.0240731824747231,-0.0551724137931034,0.0674157303370786,-0.0449438202247191,0.0,-0.0093833780160857,0.0038406144983197,0.0009900990099009,-0.0056788848735157,-0.0438356164383561,0.1428571428571428,-0.0281293952180028,0.0533063427800269,-0.0076433121019108,0.0,0.0858369098712446,0.02992700729927,0.0259740259740259,0.0145985401459854,0.0479313824419778,0.0320284697508896,0.0113636363636363,-0.0111111111111111,0.0,0.0332409972299169,-0.022983114446529,0.024340770791075,0.0352752538749331,0.0195530726256983,0.1666666666666666,-0.0069832402234636,0.0612305191106696,0.1170990527885208,-0.0013687546115267
"Alexandria, VA",Alexandria,VA,2021,-0.0070028011204481,-0.0237623762376237,0.0,-0.0092592592592592,-0.024390243902439,-0.0116279069767441,-0.024,0.0137772675086107,0.0248447204968944,-0.0666666666666666,-0.0133333333333333,0.0,0.0037914691943127,0.0345821325648415,0.0347222222222222,-0.0250941028858218,0.0869565217391304,0.0,-0.0067114093959731,0.0156472261735419,-0.0019762845849802,0.0,0.0,0.0349514563106796,0.0117647058823529,0.0107816711590296,0.0393794749403341,-0.0061728395061728,-0.0217391304347826,-0.050632911392405,0.0,-0.0121722846441947,-0.0214326001128031,0.0140845070422535,0.0075853350189633,-0.065040650406504,0.0,-0.06875,0.0897521541642714,0.0510401157813206,-0.0252287236716432
"Alexandria, VA",Alexandria,VA,2022,0.0197461212976022,0.0060851926977687,0.0,0.0467289719626168,0.0423076923076923,-0.0529411764705882,-0.0765027322404371,0.0101925254813137,-0.0303030303030303,-0.1904761904761904,-0.0135135135135135,0.0,-0.012275731822474,0.0077994428969359,0.0559284116331096,-0.0218790218790218,-0.024,0.3333333333333333,0.0472972972972973,-0.0070028011204481,-0.0237623762376237,0.0,-0.0092592592592592,-0.024390243902439,-0.0116279069767441,-0.024,0.0137772675086107,0.0248447204968944,-0.0666666666666666,-0.0133333333333333,0.0,0.0037914691943127,0.0345821325648415,0.0347222222222222,-0.0250941028858218,0.0869565217391304,0.0,-0.0067114093959731,0.0404918201361072,0.0897521541642714,0.0006833022839056
