Market,City,State,Year,accommodation_food_lag,admin_support_lag,agriculture_lag,arts_entertainment_lag,construction_lag,education_lag,finance_lag,healthcare_lag,information_lag,management_lag,manufacturing_lag,mining_lag,other_services_lag,professional_services_lag,real_estate_lag,retail_lag,transportation_lag,utilities_lag,wholesale_lag,outcome
"New York, NY",New York,NY,2020,0.0075903151421983,-0.0132356416922713,0.0,0.0296705545324329,-0.0079129574678536,0.0129564193168433,-0.0100800474355173,0.0048503489885247,0.0147840147840147,-0.0061946902654867,-0.061012812690665,0.0,0.0009088430428065,-0.0205917978889081,-0.0167802298382996,-0.0251158480074142,0.0043668122270742,0.9090909090909092,-0.0489974583451002,0.0126367942507909
"New York, NY",New York,NY,2021,-0.0338514351101363,-0.034251497005988,0.0,-0.0457074721780604,-0.0319042871385842,-0.0046511627906976,-0.0218628331835879,-0.004356016011302,-0.0225358524926018,-0.0302760463045414,-0.0779727095516569,0.0,-0.0256969036593117,-0.019434628975265,-0.0259619362846503,-0.0507652818709002,-0.0188405797101449,-0.0476190476190476,-0.0495916852264291,0.0637097716562739
"New York, NY",New York,NY,2022,-0.0442163442558231,-0.0562996031746031,0.0,-0.0081216159933361,-0.01956745623069,-0.0303738317757009,-0.0237293325168401,-0.0107603168972448,-0.0116441546343735,-0.0146923783287419,-0.1000704721634954,0.0,-0.0370922646784715,-0.0289489489489489,-0.0183710311139428,-0.0426639959939909,-0.0132939438700147,-0.025,-0.0315575691298234,0.0274277087841344
"New York, NY",New York,NY,2023,0.0309789343246592,-0.0323258869908015,0.0,0.0161662817551963,-0.009453781512605,-0.0186746987951807,-0.0377920652344362,0.0087257948840545,-0.0098963242224316,-0.0410065237651444,-0.0054815974941268,0.0,0.001451800232288,-0.0210910440376051,-0.0192557334487234,-0.0102521184224291,0.0029940119760479,0.1794871794871795,-0.0538796580093563,-0.0162038008719417
"New York, NY",New York,NY,2024,0.0161258012820512,-0.0239000543183052,0.0,-0.0297520661157024,-0.0328738069989395,0.0049109883364027,-0.0431877444589309,0.0154046687996208,-0.0335554497858162,-0.0563654033041788,-0.0559055118110236,0.0,0.0024161592732192,-0.0025905098881657,-0.014559894109861,-0.0206109290772645,-0.0432835820895522,-0.0652173913043478,-0.0317135549872122,0.0350651417606455
"Los Angeles, CA",Los Angeles,CA,2020,0.0129083665338645,0.0146945088940448,0.0,0.0767807585568917,0.0392340028024287,0.0277777777777777,-0.0199391686380533,0.0247156298272714,0.070681931309109,-0.0546875,-0.026772132643748,0.0,0.0055196041111534,0.0338345864661654,0.0307480495640201,-0.0180303237262669,0.0337886412652767,0.1333333333333333,-0.0248152795204238,0.1080356421494927
"Los Angeles, CA",Los Angeles,CA,2021,-0.0358716173694147,-0.0011432926829268,0.0,0.0670103092783505,0.0503370786516853,-0.020924149956408,0.0213793103448275,0.0311086747978621,0.0588098558809855,-0.0798898071625344,-0.0515786183182244,0.0,0.0282036721559719,0.0588181818181818,0.0273820124666073,0.012519126443177,0.0674547983310153,0.0,-0.032880629020729,0.1394225664222187
"Los Angeles, CA",Los Angeles,CA,2022,0.0031005221932114,-0.0225104921785578,0.0,0.0636070853462157,0.0312366281557552,0.0534283170080142,-0.0074274139095205,0.0026581605528973,0.0283205268935236,0.0988023952095808,-0.0201054713249835,0.0,-0.0174889543446244,0.031939555250279,0.0075839653304442,0.0098914686083253,0.0944625407166123,0.1176470588235294,0.0004434589800443,0.0516562362770545
"Los Angeles, CA",Los Angeles,CA,2023,0.0357898161704896,0.0210772833723653,0.0,0.0338127681049709,0.0348547717842323,0.0321217244294167,-0.0180272108843537,0.0448038176033934,-0.0123825789923142,-0.0599455040871934,-0.025899764547595,0.0,0.0367247517331834,0.011648223645894,0.0135483870967741,0.002584682356142,0.131547619047619,-0.3157894736842105,-0.0168439716312056,0.0388977909445945
"Los Angeles, CA",Los Angeles,CA,2024,0.0098947699073346,-0.021788990825688,0.0,-0.0100073224310471,0.0208500400962309,-0.0098280098280098,-0.0311742293037755,0.0296878964729764,-0.0412883700821444,-0.1043478260869565,-0.0738950276243094,0.0,0.0218687872763419,0.0137346821284645,-0.0078506259282834,-0.0075983717774762,-0.0263019463440294,0.1538461538461538,-0.028253681995792,0.0140339635947537
