Deal ID,Property ID,Status,Type,Subtype,Features,Hotel Franchise,Market,Date,Property Name,Address,City,State,Country,Postal Code,Unit Count,sf,Yr Built,Yr Renov,Est Completion,# Bldgs,# Floors,Land Area (acres),Occupancy,Prop/Deal,Price ($),Currency,$/Units,$/sf,$/MW,Price Qualifier,Partial Interest,Partial Inv Vol ($),Cap Rate,Cap Rate Qualifier,Owner/Buyer,Buyer's Broker,Seller,Seller's Broker,Lender,Comments or Notes,Latitude,Longitude,County,Submarket,MSA,CBSA,APN,Deed,Beds,Units
4226113,4291484,Sale,Apartment,Garden,townhouse,,Nashville,Sep-25,Villages at Forest View,2760 Murfreesboro Pike,Antioch,TN,United States,37013,307,"273,400",2022,,,64,3,,,1 of 1,"58,000,000.00",$,"188,925",212,0,approx,,"58,000,000",,,Osso Capital,,William R Hostettler,,,Garden/townhouse property; ,36.068697,-86.632102,Davidson County,Nashville - Proper,5360,34980,"14900037300, 149-00-0-373",,,Between 300 - 400 Units
4215966,4280234,Sale,Apartment,Garden,,,Orlando,Sep-25,ATRIUM at Oviedo Park,940 City Plz Way,Oviedo,FL,United States,32765,308,,2024,,,4,3,17.89,,1 of 1,"62,000,000.00",$,"201,299",,0,approx,,"62,000,000",,,RMR Residential,,"CGI, P.A.C. Land Development",,,Garden property; prior sale: Dec-21 ($69.0m); ,28.657312,-81.204339,Seminole County,Seminole/Lake,5960,36740,15213152400000040,,,Between 300 - 400 Units
4215212,4279385,Sale,Apartment,Mid/Highrise,,,Austin,Sep-25,The Veranda,7205 E Ben White Blvd,Austin,TX,United States,78744,362,,2023,,,14,4,,,1 of 1,n/a,$,,,0,est,,n/a,,,"Missio Capital, Bow River Cap Prtnrs",,Wayfinder Real Estate,Newmark,Private/Other,Mid/Highrise property; ,30.215296,-97.697954,Travis County,Austin South,640,12420,"292098, 292096",,,Between 300 - 400 Units
4223722,4288811,Sale,Apartment,Garden,,,Denver,Sep-25,Broadstone Sterling Ranch,W Waterton Rd And N Rampart Range Rd,Roxborough Park,CO,United States,80125,332,"540,144",2024,,,11,"3, 4",12.40,,1 of 1,"121,000,000.00",$,"364,458",224,0,confm'd,,"121,000,000",,,Las Colinas-Broadstone LLC; Innsbrook-Broadstone LLC,,Alliance Residential,,Fannie Mae ($73m approx),Garden property; prior land sale: Apr-22 ($5.4m); ,39.483907,-105.071881,Douglas County,Douglas,2080,19740,"222736300002, R0607973",2025042506; 2025042507,,Between 300 - 400 Units
4223189,,Sale,Apartment,,,,,Sep-25,Inland Group WA Apts Port 2025,2 of 2 properties,,,,,585,,,,,,,,,,"75,000,000.00",,,,,confm'd,,,,,Blackstone,,Inland Group,,,2 property portfolio.,,,,,,,,,,Greater than 400 Units
4223189,4288268,Sale,Apartment,Mid/Highrise,,,Seattle,Sep-25,Adara at SeaTac,15245 International Blvd,SeaTac,WA,United States,98188,220,"182,368",2023,,,1,7,1.43,,1 of 2,"28,205,052.20",$,"128,205",155,0,alloc'd,,"28,205,052",,,Blackstone,,Inland Group,,,Mid/Highrise property; ,47.465901,-122.290086,King County,Seattle - Proper,7600,42660,"0043000013, 0043000015, 0043000018, 004300-0013",20250924000792; 202509240792,,Between 200 - 300 Units
4223189,4289693,Sale,Apartment,Mid/Highrise,subsidized,,Seattle,Sep-25,Polaris at SeaTac Apartments,15245 International Blvd,SeaTac,WA,United States,98188,365,,2023,,,3,7,1.40,,1 of 2,"46,794,745.70",$,"128,205",,0,alloc'd,,"46,794,746",,,Blackstone,,Inland Group,,,Mid/Highrise/subsidized property; prior land sale: May-20 ($11.0m); ,47.465996,-122.289581,King County,Seattle - Proper,7600,42660,"0043000015, 0043000018, 004300-0013",,,Between 300 - 400 Units
4226279,4291694,Sale,Apartment,Mid/Highrise,,,New Orleans,Sep-25,The Lumina,401 N Cortez St,New Orleans,LA,United States,70119,382,,2020,,,2,4,5.00,,1 of 1,n/a,$,,,0,est,,n/a,,,JRK Property Holdings,,Edwards Companies,,Government Agency ($60m approx),Mid/Highrise property; ,29.975712,-90.095520,Orleans Parish,New Orleans - Proper,5560,,"206207602, 206207006, 2-06-2-070-06, 2-06-2-076-02",30382,,Between 300 - 400 Units
4219223,4283926,Sale,Apartment,Mid/Highrise,,,Manhattan,Sep-25,Hap Seven NY,4452 Broadway,New York,NY,United States,10040,129,"134,475",2020,,,1,7,0.55,,1 of 1,"15,275,000.00",$,"118,411",114,0,approx,,"15,275,000",,,MB 4452 LLC,,Madison Realty Capital,,,"Mid/Highrise property; street retail (11,000 sf); prior land sale: Apr-13 ($7.3m); ",40.856473,-73.932433,New York County,Upper Manhattan,5600,35620,"21700062, 21700400, 2170-0400, 2170-0062",247357,,Between 100 - 200 Units
4211543,4275167,Sale,Apartment,Mid/Highrise,,,No NJ,Sep-25,803 South Avenue,803 South Ave,Plainfield,NJ,United States,07062,104,,2023,,,1,5,1.40,,1 of 1,"39,000,000.00",$,"375,000",,0,approx,,"39,000,000",,,,,Amir Ben-Yohanan (NJ),,,Mid/Highrise property; prior land sale: Mar-21 ($4.7m); ,40.625832,-74.407814,Union County,Essex/Union/Hudson,5640,35620,"1200645000000012, 12-00645-0000-00012",,,Between 100 - 200 Units
4218743,4283409,Sale,Apartment,Mid/Highrise,,,DC VA burbs,Aug-25,10350 Eaton Place,10350 Eaton Pl,Fairfax,VA,United States,22030,260,,Underway,,2027 Q1,1,6,3.01,,1 of 1,"100,228,962.00",$,"385,496",,0,confm'd,Majority,"90,206,066",,,GID,,"Capital City RE, Middleburg",Eastdil Secured,,Mid/Highrise property; seller retained interest; partial interest (90%); ,38.862643,-77.304458,Fairfax City,Fairfax,8840,47900,47 4 02    002 C,,,Between 200 - 300 Units
4223084,4288147,Sale,Apartment,Garden,,,St Louis,Aug-25,Stoney Pines Apartments,1735 Old State Rd M,Imperial,MO,United States,63012,128,,2022,,,5,2,9.17,,1 of 1,"23,065,900.00",$,"180,202",,0,approx,,"23,065,900",,,Gateway Multifamily Group,,Lorenzo Development,,Old National Bank ($16m approx),Garden property; ,38.352225,-90.404275,Jefferson County,St Louis - Other,7040,41180,08-7.0-25.0-1-001-099,22624; 22623,,Between 100 - 200 Units
4216740,4281099,Sale,Apartment,Garden,,,Chicago,Aug-25,Lincoln Station Apartments,210 Prairie Rd,New Lenox,IL,United States,60451,220,,2024,,,5,,,,1 of 1,"65,300,000.00",$,"296,818",,0,confm'd,,"65,300,000",,,JSB Capital Group LLC,,Carlson Brothers Inc,,Fannie Mae ($46m approx),Garden property; ,41.513624,-87.960729,Will County,Will/Kankakee/IN,1600,16980,"1508153120260000, 15-08-15-312-036-0000",48535; 48534,,Between 200 - 300 Units
4210291,4273350,Sale,Apartment,Mid/Highrise,,,Kansas City,Aug-25,The Clearing at ONE28,12840 S Blackbob Rd,Olathe,KS,United States,66062,318,"295,000",2024,,,24,4,,,1 of 1,n/a,$,,,0,est,,n/a,,private,MAA REIT,,Block RE Services,Walker & Dunlop,,Mid/Highrise property; ,38.895440,-94.761947,Johnson County,Johnson Co,3760,28140,DP364800000001,,,Between 300 - 400 Units
4211592,4275222,Sale,Apartment,Garden,,,Nashville,Aug-25,Statler McCains Station,3369 Provine Blvd,Gallatin,TN,United States,37066,297,,2023,,,,2,,87%,1 of 1,"84,645,000.00",$,"285,000",,0,apprsl,,"84,645,000",4.3%,unwrtn,GSL Properties,,Embrey Development,Walker & Dunlop,Fannie Mae ($48m approx),87% occ.;Garden property; ,36.364777,-86.534081,Sumner County,Nashville - Other,5360,34980,13700807,,,Between 200 - 300 Units
4216060,4280356,Sale,Apartment,Garden,,,Portland,Aug-25,Prairie Home Apartments,12101 NE 116th St,Vancouver,WA,United States,98682,120,,2023,,,5,3,4.97,,1 of 1,"28,495,840.00",$,"237,465",,0,approx,,"28,495,840",,,Levine Family WA LLC; Prairie Home Apartments LLC,,"RRC Group-Spe LLC, Sheldon Development",,Jackson National Life ($19m approx),Garden property; ,45.705136,-122.548180,Clark County,Columbia/Washington/Clark,6440,38900,200190000,6271993; 6271995; 6271992,,Between 100 - 200 Units
4211642,4275273,Sale,Apartment,Mid/Highrise,,,DC VA burbs,Aug-25,Ascend Rippon,2500 Vantage Dr,Woodbridge,VA,United States,22191,236,,2025,,,1,5,7.34,,1 of 1,"83,250,000.00",$,"352,754",,0,confm'd,,"83,250,000",,,Southern Management,,DR Horton Homes,Northmarq,,Mid/Highrise property; ,38.617130,-77.286290,Prince William County,Loudoun/Manassas - All Other,8840,47900,"8291908011, 8291-90-8011",49867,,Between 200 - 300 Units
4214479,4278606,Sale,Apartment,Mid/Highrise,,,Minneapolis,Aug-25,Lakehaus,3100 W Lake St,Minneapolis,MN,United States,55416,200,"228,776",2020,,,1,8,1.65,,1 of 1,"75,500,000.00",$,"377,500",330,0,approx,,"75,500,000",,,Weidner Apt Homes,,"Deutsche Finance America, Brickstone Partners, KMK Capital; Michael G Kennedy",,Freddie Mac ($51m approx),Mid/Highrise property; prior sale: Aug-15 ($8.0m); ,44.949130,-93.318287,Hennepin County,Minneapolis - Proper,5120,33460,"3202924430382, 3202924430384, 32-029-24-43-0382",6155115; 6155114,,Between 100 - 200 Units
4213784,4277842,Sale,Apartment,Mid/Highrise,,,East Bay,Aug-25,The Waymark,200 Ygnacio Valley Rd,Walnut Creek,CA,United States,94596,358,"428,476",2022,,,2,4,3.56,95%,1 of 1,"190,000,000.00",$,"530,726",443,0,confm'd,,"190,000,000",5.1%,unwrtn,Acacia Capital Corp,,"Blake Griggs Properties, Transit Village Associates",Marcus & Millichap,Fannie Mae ($119m approx),"95% occ.;Mid/Highrise property; street retail (8,685 sf); prior land sale: Apr-19 ($23.3m); ",37.906941,-122.067434,Contra Costa County,Contra Costa,5775,41860,"174190037, 174-180-003-9, 174-180-008-8",88613; 88614,,Between 300 - 400 Units
4214520,4278657,Sale,Apartment,Garden,,,"All Others - AR,LA",Aug-25,Pure Lowell,W Monroe Ave,Lowell,AR,United States,72745,152,"115,000",2023,,,10,3,5.62,95%,1 of 1,"26,911,296.00",$,"177,048",234,0,approx,,"26,911,296",4.8%,unwrtn,Lauth Properties,,"Mia Rose Holdings, ERC Properties Inc",,Fannie Mae ($17m approx),95% occ.;Garden property; ,36.250574,-94.149156,Benton County,All Others - AR,2580,22220,"1200232005, 1202014000, 1202013000, 12-02014-000",48942,,Between 100 - 200 Units
4211695,4275326,Sale,Apartment,Mid/Highrise,student hsng,,"All Others - AR,LA",Aug-25,The Marshall at Fayetteville,777 S Razorback Rd,Fayetteville,AR,United States,72701,226,"316,846",2021,,,1,7,2.31,,1 of 1,"92,000,000.00",$,"407,080",290,0,approx,,"92,000,000",,,DWS Group Americas,,Aptitude Development,Newmark,,Mid/Highrise/student hsng property; 647 beds; ,36.055672,-94.181181,Washington County,All Others - AR,2580,22220,"76514844001, 765-14844-001, 76514844004",,647,Between 200 - 300 Units
4211977,4275623,Sale,Apartment,Mid/Highrise,,,Provo,Aug-25,Alvera at the Meadows,688 W Nicholes Ln,American Fork,UT,United States,84003,142,"200,000",2021,,,2,4,4.08,95%,1 of 1,"39,000,000.00",$,"274,648",195,0,confm'd,,"39,000,000",,,Gelt Venture Partners,IPA (Marcus & Millichap),Woodbury Corp,IPA (Marcus & Millichap),CB&T ($23m approx),95% occ.;Mid/Highrise property; bought for renovation; ,40.380100,-111.817261,Utah County,"Provo-Orem, UT",6520,39340,"344300004, 34-430-0004",64969; 64968,,Between 100 - 200 Units
4217408,4281841,Sale,Apartment,Mid/Highrise,age-restricted,,"All Others - AR,LA",Aug-25,Promenade Commons,750 S Promenade Blvd,Rogers,AR,United States,72758,131,"244,000",2021,,,1,4,4.24,,1 of 1,"32,000,000.00",$,"244,275",131,0,approx,,"32,000,000",,,AndMark,,TLC Properties,,,Mid/Highrise/age-restricted property; ,36.328478,-94.178999,Benton County,All Others - AR,2580,22220,"0222432000, 02-22432-000",50294,,Between 100 - 200 Units
4215207,4279379,Sale,Apartment,Garden,,,Atlanta,Aug-25,The Cove at Covington Town Center,12301 Town Center Dr,Covington,GA,United States,30014,350,,2022,2023,,11,3,170.12,94%,1 of 1,"72,575,000.00",$,"207,357",,0,approx,,"72,575,000",5.2%,unwrtn,Monument Square Investment Group,,Haven Campus Cmnties,,Fannie Mae ($48m approx),94% occ.;Garden property; prior land sale: Mar-19 ($4.8m); ,33.623318,-83.845673,Newton County,Atlanta - Other,520,12060,"C080000000036000, C080000000002A00, C080000000002I00",9691; 004758000055,,Between 300 - 400 Units
4211694,4275325,Sale,Apartment,Mid/Highrise,,,Dallas,Aug-25,Ovation at Galatyn Park,2323 Plaza Blvd,Richardson,TX,United States,75082,361,,2024,,,1,,3.60,,1 of 1,n/a,$,,,0,est,,n/a,,,MG Properties,,"JPI Multifamily, Legacy Partners, Bridge Investment Grp",CBRE,Freddie Mac ($52m approx),Mid/Highrise property; ,32.984262,-96.709997,Dallas County,North Dallas,1920,19100,"420746700A07B0000, 42-07467-00A-07C-0000",179342; 179345,,Between 300 - 400 Units
4211555,4275183,Sale,Apartment,Garden,,,Nashville,Aug-25,Radius At Donelson,2301 Lebanon Pike,Nashville,TN,United States,37214,128,"128,800",2021,,,3,3,3.89,,1 of 1,"27,800,000.00",$,"217,188",216,0,confm'd,,"27,800,000",,,Freeman Webb Cos,,Steadfast Cos,Walker & Dunlop,Freddie Mac 2022-K149 ($18m approx),Garden property; buyer assumed mtg; prior sale: Jul-22 ($37.0m); ,36.167906,-86.686374,Davidson County,Nashville - Proper,5360,34980,"09503003800, 09503002600, 09503003900, 095-03-0-026",,,Between 100 - 200 Units
4217034,4281426,Sale,Apartment,Mid/Highrise,,,Boston,Aug-25,Hathon,33-39 Main St,Medway,MA,United States,02053,190,,2023,,,2,"5, 4",12.33,95%,1 of 1,"75,600,000.00",$,"397,895",,0,apprsl,,"75,600,000",4.7%,unwrtn,,,Eaton Vance RE,,Fannie Mae ($39m approx),95% occ.;Mid/Highrise property; prior sale: Dec-24 ($75.6m); ,42.154977,-71.397293,Norfolk County,Bristol/Plymouth/Norfolk,1120,14460,"003165536, MEDW-000041-000000-000035-000001, MEDW-000041-000000-000035",,,Between 100 - 200 Units
4209859,4272824,Sale,Apartment,Mid/Highrise,,,Palm Beach Co,Aug-25,Aura Delray Beach,40 N Congress Ave,Delray Beach,FL,United States,33445,292,"522,000",2023,,,7,5,5.00,,1 of 1,"116,850,000.00",$,"400,171",224,0,confm'd,,"116,850,000",,,Related Cos,,Trinsic Residential,,Freddie Mac ($59m approx),Mid/Highrise property; prior land sale: Nov-20 ($4.1m); ,26.461534,-80.094859,Palm Beach County,Boca Raton,8960,33100,"12434618000001190, 12434618000005090, 12434618000005110, 12-43-46-18-00-000-1190, 12-43-46-18-71-001-0000",035964000191; 304789; 304788; 035964000187,,Between 200 - 300 Units
4213870,,Sale,Apartment,,,,,Aug-25,Campanelli Companies NY Apartment Portfolio 2025,1 of 2 properties,,,,,372,,,,,,,,,,"35,603,200.0  of 106,000,436.0 ",,,,,approx,,,,,DSF Group,,Campanelli Companies,,Fannie Mae ($23m alloc'd),2 property portfolio.,,,,,,,,,,Between 300 - 400 Units
4213870,4277932,Sale,Apartment,Garden,,,Boston,Aug-25,Redbrook II,200-204 Wareham Rd,Plymouth,MA,United States,02360,108,,2022,,,4,3,,,1 of 2,"35,603,200.00",$,"329,659",,0,approx,,"35,603,200",,,DSF Group,,Campanelli Companies,,Fannie Mae ($23m alloc'd),Garden property; ,41.833532,-70.616043,Plymouth County,Bristol/Plymouth/Norfolk,1120,14460,"004843778, 004520290",,,Between 100 - 200 Units
4208529,4271103,Sale,Apartment,Mid/Highrise,student hsng,,Los Angeles,Aug-25,The Current Pomona,851 Corporate Center Dr,Pomona,CA,United States,91768,177,,2024,,,4,4,,,1 of 1,"126,000,000.00",$,"711,864",,0,approx,,"126,000,000",,,"California State Polytechnic University, Pomona (CPP)",,Gilbane Inc,,,Mid/Highrise/student hsng property; 636 beds; ,34.064009,-117.802699,Los Angeles County,West Covina/Diamond Bar,4480,31080,8707001909,,636,Between 100 - 200 Units
4209899,4272882,Sale,Apartment,Mid/Highrise,,,Dallas,Aug-25,Mason + Mill,2000 Nahvi Rd,Mansfield,TX,United States,76063,349,"308,140",2023,2024,,5,"4, 3",2.00,,1 of 1,n/a,$,,,0,est,,n/a,,,Millburn & Company,IPA (Marcus & Millichap),JLB Partners,IPA (Marcus & Millichap),Fannie Mae ($50m approx),Mid/Highrise property; ,32.565620,-97.107550,Tarrant County,Ft Worth,2800,19100,"41448502, 04022777, 42821400",225155495; 225155493,,Between 300 - 400 Units
4206967,4269296,Sale,Apartment,Mid/Highrise,,,No NJ,Aug-25,The James,87 Madison Ave,Park Ridge,NJ,United States,07656,240,,2021,,,1,5,,,1 of 1,"117,000,000.00",$,"487,500",,0,approx,,"117,000,000",,,Berkshire Group,,Veris Residential - fmr Mack-Realty Corp,CBRE,,"Mid/Highrise property; street retail (17,600 sf); prior sale: May-22 ($130.0m); ",41.033833,-74.034645,Bergen County,Bergen/Passaic,875,35620,4701802000000006,,,Between 200 - 300 Units
4213824,4277882,Sale,Apartment,Garden,,,Brevard Co,Aug-25,Addison Square,7578 Highsmith Rd Clubhs,Melbourne,FL,United States,32940,270,,2024,,,9,"2, 3, 4",14.03,,1 of 1,"94,000,000.00",$,"348,148",,0,confm'd,,"94,000,000",,,Goldman Sachs,,"Viera Company, P.A.C. Land Development",,,Garden property; ,28.224812,-80.725075,Brevard County,Brevard Co,4900,37340,"26 361600000010000000, 26 3616-07-*-A, 26 3616-07-A-2",167624; 010412002855,,Between 200 - 300 Units
4208394,4270955,Sale,Apartment,Mid/Highrise,,,Jacksonville,Aug-25,The Howell at the Preserve,Broward Rd And Island Pointe Rd,Jacksonville,FL,United States,32218,192,"262,925",2023,,,3,4,22.91,,1 of 1,"35,750,000.00",$,"186,198",136,0,approx,,"35,750,000",,,Safe Harbor Investments LLC (TN),,Becovic Management Group,JLL,Fortress ($31m approx),Mid/Highrise property; ,30.408964,-81.663774,Duval County,Duval/Nassau,3600,,"022157 0000, 022157-0100, 022157-0000",195344; 021589001139; 021589001129; 195342,,Between 100 - 200 Units
4212165,4275869,Sale,Apartment,Garden,,,Austin,Aug-25,Ascend Westinghouse,500 Westinghouse Rd,Georgetown,TX,United States,78626,300,"297,937",2023,,,7,3,14.44,,1 of 1,n/a,$,,,0,est,,n/a,,,GSL Properties,,DR Horton,,D2 Asset Management LP ($43m approx),Garden property; ,30.579525,-97.684538,Williamson County,Austin - Other,640,12420,R606075,64668; 64665,,Between 200 - 300 Units
4216623,4280949,Sale,Apartment,Mid/Highrise,,,Boston,Aug-25,The 266 Framingham,266 Waverly St,Framingham,MA,United States,01702,270,"301,125",2020,,,1,5,2.96,,1 of 1,"112,000,000.00",$,"414,815",372,0,approx,,"112,000,000",,,Nuveen (US),,Mill Creek Residential,,,Mid/Highrise property; ,42.276970,-71.410881,Middlesex County,Middlesex - Boston,1120,,"1001100022400030, M:128 B:06 L:2160 U:000, 000492040, FRAM-000128-000006-002160",1983382,,Between 200 - 300 Units
4209877,4272849,Sale,Apartment,Garden,,,Seattle,Aug-25,Arrow Apartments,7415 Hawks Prairie Rd NE,Lacey,WA,United States,98516,144,,2023,,,,3,4.79,95%,1 of 1,"39,750,000.00",$,"276,042",,0,confm'd,,"39,750,000",5.4%,unwrtn,Targa RE Services Inc,,Blue Fern Development,Berkadia,Fannie Mae ($26m approx),95% occ.;Garden property;  1031 exch;,47.082409,-122.782227,Thurston County,"Olympia-Tumwater, WA",5910,36500,7539-00-00100,5067972,,Between 100 - 200 Units
4208905,4271535,Sale,Apartment,Mid/Highrise,,,Charlotte,Aug-25,Alexan Mill District Apartments and Office Buildin,1019 N Brevard St,Charlotte,NC,United States,28206,290,"372,341",2023,,,3,5,3.11,,1 of 1,"82,000,000.00",$,"282,759",220,0,confm'd,,"82,000,000",,,Seminole Real Estate Fund (SEMREF),,"Trammell Crow Res, White Point Partners",Northmarq,Fannie Mae ($42m approx),Mid/Highrise property; prior sale: Jan-22 ($7.8m); ,35.233003,-80.829425,Mecklenburg County,Charlotte - East/Northeast,1520,16740,"081-041-02, 08104102, 081-041-03, 081-042-03, 081-042-01, 081-041-06",039790000145; 81914; 039790000135; 81912,,Between 200 - 300 Units
4209831,4272790,Sale,Apartment,Garden,,,Phoenix,Aug-25,Annex at Cadence,9411 E Cadence Pkwy,Chandler,AZ,United States,85212,135,,2023,,,,2,,91%,1 of 1,"49,000,000.00",$,"362,963",,0,confm'd,,"49,000,000",5.3%,unwrtn,Goodman Real Estate Inc,,Cowley Norberg Investments,Northmarq,Fannie Mae ($32m approx),91% occ.;Garden property; ,33.316944,-111.631844,Maricopa County,Mesa/Tempe/Chandler,6200,38060,31325004,20250468786 ; 20250468787,,Between 100 - 200 Units
4204564,4266586,Sale,Apartment,Mid/Highrise,,,Broward,Aug-25,1818 Park,1818 Hollywood Blvd,Hollywood,FL,United States,33020,277,"498,512",2022,,,1,22,1.03,,1 of 1,"190,000,000.00",$,"685,921",381,0,approx,,"190,000,000",,,FAVO Capital,,GCF Development ,,,Mid/Highrise property; street retail; ,26.011145,-80.144733,Broward County,Pembroke Pines,2680,33100,"514215017830, 514215017780, 514215017810, 514215017790, 514215017820, 51-42-15-01-7830, 51-42-15-01-7820, 51-42-15-01-7790, 51-42-15-01-7810, 51-42-15-01-7780",,,Between 200 - 300 Units
4207026,4269404,Sale,Apartment,Mid/Highrise,student hsng,,Austin,Aug-25,Villas on 24th,2313 Rio Grande St,Austin,TX,United States,78705,199,,2024,,,1,30,,100%,1 of 1,n/a,$,,,0,est,,n/a,,,Core Spaces,,Villas Student Housing,,,100% occ.;Mid/Highrise/student hsng property; 670 beds; ,30.287671,-97.744492,Travis County,I-35 East,640,12420,,,670,Between 100 - 200 Units
